id_cliente,cliente,genero,idade,contato,fonte,produto_interesse,forma_pagamento,entrada_pct,fez_test_drive,data_interesse,etapa,motivo_insucesso,temperatura,data_ultimo_contato
CLI000341,Laura Monteiro,Feminino,53,(19) 91644-7623,Google Ads,Saveiro,Financiamento,40,Não,12/05/2024,Primeiro Contato,,Morno,19/05/2024
CLI000342,Henrique Moreira Melo,Masculino,68,(12) 91161-3601,Site,Saveiro,Financiamento,30,Sim,23/05/2024,interesse futuro,,Morno,10/09/2024
CLI000343,Beatriz Soares,Feminino,34,(13) 97022-2761,Google Ads,Tiguan Allspace,Financiamento,20,Sim,13/05/2024,Sucesso,,Quente,07/06/2024
CLI000344,Renan Barbosa,Masculino,38,(16) 91289-9977,WhatsApp,Saveiro,Financiamento,25,Sim,28/05/2024,Primeiro Contato,Produto Indisponível,Quente,02/06/2024
CLI000345,Luana Pereira Souza,Feminino,28,(11) 98111-4546,Loja Física,T-Cross,Financiamento,20,Sim,28/05/2024,Sucesso,,Quente,01/06/2024
CLI000346,João Ribeiro,Masculino,66,(81) 93767-1062,Instagram,T-Cross,À Vista,,Não,29/05/2024,Agendamento,,Quente,03/06/2024
CLI000347,Thiago Costa,Masculino,36,(48) 93646-5700,WhatsApp,T-Cross,Financiamento,20,Não,13/05/2024,Interesse Futuro,,Frio,04/08/2024
CLI000348,Letícia Moraes,Feminino,52,(24) 96279-8544,Loja Física,Amarok,À Vista,,Não,27/05/2024,Negociação,,Quente,02/06/2024
CLI000349,Sofia Santana,Feminino,64,(48) 92930-9811,Site,Virtus,Financiamento,40,S,25/05/2024,Negociação,,Quente,18/06/2024
CLI000350,Patrícia Nascimento Lima,Feminino,43,(27) 95732-5051,Instagram,T-Cross,Financiamento,30,Não,16/05/2024,Agendamento,,Morno,17/05/2024
CLI000351,  Beatriz Gomes Moreira ,Feminino,37,(61) 96204-7813,Site,T-Cross,Financiamento,20,Sim,18/05/2024,Sucesso,,Morno,16/06/2024
CLI000352,Vinícius Ramos Monteiro,Masculino,42,(32) 95734-4502,Site,Saveiro,Financiamento,15,Não,28/05/2024,Interesse Futuro,,Frio,04/09/2024
CLI000353,Marcelo Costa,Masculino,38,(17) 97683-9136,Site,Polo,Financiamento,20,Não,06/05/2024,Primeiro Contato,,Morno,07/05/2024
CLI000354,Bianca Ramos,Feminino,53,(81) 93737-3303,Instagram,Polo,Financiamento,25,Não,01/05/2024,Interesse Futuro,,Morno,25/07/2024
CLI000355,Eduarda Barros Lima,Feminino,52,(32) 94076-7909,Instagram,Taos,Financiamento,35,Não,03/05/2024,Primeiro Contato,,Morno,28/04/2024
CLI000356,André Santana Duarte,Masculino,68,(12) 97438-8740,Instagram,Polo,Financiamento,30,Sim,28/05/2024,Sucesso,,Frio,10/06/2024
CLI000357,Eduardo Mendes,Masculino,53,1198877-66,Instagram,Saveiro,À Vista,,Não,09/05/2024,Primeiro Contato,,Frio,12/05/2024
CLI000358,André Santos Nascimento,M,35,(31) 99641-4923,Instagram,Nivus,À Vista,,Sim,01/05/2024,Negociação,,Quente,17/05/2024
CLI000359,Rafaela Almeida Dias,Feminino,27,(51) 91777-3367,Site,Polo,Financiamento,20,Sim,02/05/2024,Sucesso,Financeiro,Quente,26/05/2024
CLI000360,Clara Rocha,Feminino,35,(11) 98525-3507,Google Ads,T-Cross,Financiamento,50,Não,30/05/2024,Insucesso,Comprou em Outra Concessionária,Morno,01/07/2024
CLI000361,Pedro Cardoso,Masculino,36,(17) 97148-7407,OLX,Taos,Financiamento,20,Sim,24/05/2024,Interesse Futuro,,Morno,22/08/2024
CLI000362,Mariana Lopes Rezende,Feminino,29,(71) 97446-2074,Instagram,Saveiro,Financiamento,25,Não,26/05/2024,Interesse Futuro,,Frio,24/06/2024
CLI000363,Rafaela Almeida Costa,Feminino,30,(32) 99725-2998,Instagram,Taos,Financiamento,20,Não,19/05/2024,Primeiro Contato,,Morno,25/05/2024
CLI000364,Larissa Moraes Nunes,Feminino,35,(11) 97665-0717,WhatsApp,T-Cross,Financiamento,10,Não,01/05/2024,Primeiro Contato,,Quente,06/05/2024
CLI000365,Júlia Silva Santana,Feminino,30,(62) 96629-0101,Instagram,Polo,Financiamento,25,Sim,29/05/2024,Sucesso,,Quente,02/06/2024
CLI000366,Marina Carvalho,Feminino,60,(51) 94859-3500,Loja Física,T-Cross,À Vista,,Sim,27/05/2024,Negociação,,Quente,31/05/2024
CLI000367,Marcos Castro,Masculino,16,(12) 92054-9310,Indicação,Taos,Financiamento,15,Não,23/05/2024,Primeiro Contato,,Morno,26/05/2024
CLI000368,Gabriel Araújo,Masculino,29,(11) 97541-2051,Facebook Ads,Polo,À Vista,,Não,28/05/2024,Interesse Futuro,,Frio,01/07/2024
CLI000369,Marcelo Santos Nunes,Masculino,41,(81) 94192-5958,Instagram,Polo,Financiamento,20,Sim,22/05/2024,Agendamento,,Quente,30/05/2024
CLI000370,Patrícia Barbosa,Feminino,35,(85) 96764-0647,Loja Física,Amarok,Financiamento,40,Não,25/05/2024,Primeiro Contato,,Frio,26/05/2024
CLI000371,Vitor Ribeiro,Masculino,50,(12) 96005-5895,WhatsApp,Polo,À Vista,,Sim,09/05/2024,Sucesso,,Morno,04/06/2024
CLI000372,Mariana Nascimento,Feminino,37,9988-7766,Google Ads,Polo,À Vista,,Sim,26/05/2024,Insucesso,Comprou em Outra Concessionária,Frio,10/06/2024
CLI000373,Gabriel Alves Teixeira,Masculino,59,(71) 96686-2033,WhatsApp,T-Cross,À Vista,,Não,2024-05-23,Primeiro Contato,,Morno,29/05/2024
CLI000374,Ana Martins,Feminino,45,(27) 99888-4265,Indicação,Nivus,Financiamento,25,Não,07/05/2024,Primeiro Contato,,Frio,05/13/2024
CLI000375,Eduarda Ferreira,Feminino,46,(21) 99543-3669,WhatsApp,Polo,Financiamento,50,Sim,31/05/2024,Insucesso,Comprou no Particular,Frio,11/07/2024
CLI000376,Marcos Gonçalves Barros,Masculino,34,(21) 98805-6379,Google Ads,Polo,Financiamento,15,Sim,12/05/2024,Primeiro Contato,,Morno,16/05/2024
CLI000377,Lucas Batista,Masculino,42,(81) 92769-0662,WhatsApp,Saveiro,À Vista,,Não,03/05/2024,Interesse Futuro,,Morno,12/08/2024
CLI000378,Renan Santana,Masculino,42,9988-7766,Instagram,Polo,Financiamento,20,Não,06/05/2024,Primeiro Contato,,Frio,08/05/2024
CLI000379,Camila Silva Nunes,Feminino,25,(41) 91382-1379,Indicação,Tiguan Allspace,Financiamento,30,Não,25/05/2024,Primeiro Contato,,Morno,29/05/2024
CLI000380,paulo moraes,Masculino,38,(21) 98683-8770,Google Ads,Nivus,À Vista,,Não,21/05/2024,Insucesso,Financeiro,Frio,28/06/2024
CLI000381,Murilo Rocha,Masculino,29,(11) 98A77-6655,Instagram,T-Cross,Financiamento,40,Não,30/05/2024,Insucesso,Produto Indisponível,Frio,01/06/2024
CLI000382,Thiago Silva,Masculino,64,(61) 98362-4172,Site,Polo,À Vista,,Não,05/05/2024,Insucesso,Comprou no Particular,Frio,2024-06-12
CLI000383,Vanessa Gomes Lopes,Feminino,70,(17) 94880-6519,Instagram,T-Cross,Financiamento,20,Não,28/05/2024,Primeiro Contato,,Frio,03/06/2024
CLI000384,Valentina Teixeira,Feminino,44,(81) 94260-7169,Facebook Ads,Polo,À Vista,,Sim,02/05/2024,Negociação,,Morno,06/05/2024
CLI000385,Renan Freitas,Masculino,24,(21) 95927-0704,Site,Taos,Financiamento,10,Sim,20/05/2024,Sucesso,,Quente,15/06/2024
CLI000386,Carlos Barros Nunes,Masculino,44,(17) 97609-6450,Google Ads,Tiguan Allspace,Financiamento,15,Sim,21/05/2024,Negociação,,Morno,04/06/2024
CLI000387,Renan Araújo Silva,Masculino,36,(12) 98130-8276,WhatsApp,Amarok,Financiamento,30,Sim,28/05/2024,Sucesso,,Quente,20/06/2024
CLI000388,Vitor Lopes,Masculino,50,(21) 94026-2982,Loja Física,Polo,Financiamento,30,Sim,20/05/2024,Sucesso,,Quente,23/06/2024
CLI000389,Rodrigo Rodrigues,Masculino,53,(62) 99264-5924,Site,Polo,Financiamento,25,Sim,27/05/2024,Sucesso,,Morno,04/07/2024
CLI000390,Mariana Duarte,Feminino,43,(27) 99080-9402,Instagram,Polo,Financiamento,20,Sim,29/05/2024,Sucesso,,Quente,02/07/2024
CLI000391,Daniela Freitas,Feminino,22,(16) 95473-4407,Facebook Ads,T-Cross,À Vista,,Sim,13/05/2024,Interesse Futuro,,Frio,02/07/2024
CLI000392,Camila Martins Melo,Feminino,47,(48) 99669-5667,Instagram,Polo,Financiamento,30,Sim,03/05/2024,Negociação,,Quente,07/05/2024
CLI000393,Pedro Soares Rezende,Masculino,51,(27) 92018-8792,Facebook Ads,Nivus,Financiamento,30,Não,08/05/2024,Negociação,,Quente,26/05/2024
CLI000394,Júlia Pereira,Feminino,52,(71) 96767-8052,Indicação,Saveiro,Financiamento,25,Sim,10/05/2024,Sucesso,Comprou no Particular,Quente,20/05/2024
CLI000395,Luana Rezende,Feminino,57,(15) 93170-6595,Instagram,Amarok,Financiamento,25,Não,15/05/2024,Primeiro Contato,,Frio,21/05/2024
CLI000396,Fernando Martins Castro,Masculino,45,(11) 96338-8899,Instagram,Polo,Financiamento,20,Não,14/05/2024,Negociação,,Quente,27/05/2024
CLI000397,Carolina Pereira,Feminino,50,(47) 99878-8450,Google Ads,Nivus,Financiamento,50,Sim,05/01/2024,Sucesso,,Frio,18/05/2024
CLI000398,Bianca Gonçalves Barros,Feminino,52,(51) 93091-2924,Site,Polo,Financiamento,25,Não,10/05/2024,Primeiro Contato,,Quente,16/05/2024
CLI000399,Mariana Mendes Santana,Feminino,40,(11) 96394-6610,Indicação,Tiguan Allspace,Financiamento,25,Sim,24/05/2024,Sucesso,,Quente,04/07/2024
CLI000400,Fernando Ramos,Masculino,46,(32) 98114-0545,Instagram,Nivus,Financiamento,40,Não,19/05/2024,Agendamento,,Quente,23/05/2024
CLI000401,Carlos Souza,Masculino,50,(16) 96823-8719,Instagram,Virtus,À Vista,,Sim,27/05/2024,Negociação,,Quente,01/06/2024
CLI000402,Sabrina Gomes Lima,Feminino,44,(16) 97049-2611,Site,Taos,À Vista,,Não,14/05/2024,Primeiro Contato,,Morno,18/05/2024
CLI000403,Daniela Lopes,Feminino,45,(15) 97324-5556,WhatsApp,Saveiro,Financiamento,15,Não,05/05/2024,insucesso,Produto Indisponível,Frio,10/06/2024
CLI000404,Marina Santana,Feminino,37,(62) 98731-0823,WhatsApp,Polo,Financiamento,30,Não,09/05/2024,Primeiro Contato,,Frio,14/05/2024
CLI000405,Carlos Barros Gomes,Masculino,65,(24) 95952-6079, WhatsApp  ,Polo,À Vista,,Não,23/05/2024,Primeiro Contato,,Morno,23/05/2024
CLI000406,Murilo Nascimento,Masculino,51,(17) 93341-8556,Google Ads,Taos,Financiamento,15,Não,16/05/2024,Insucesso,Contato Sem Sucesso,Morno,01/07/2024
CLI000407,Rodrigo Pereira Santos,Masculino,51,(48) 93140-9873,Instagram,Saveiro,Financiamento,20,Sim,05/05/2024,PRIMEIRO CONTATO ,,Morno,07/05/2024
CLI000408,Fernanda Castro,Feminno,60,(21) 91840-1264,Site,Taos,Financiamento,15,Sim,31/05/2024,Insucesso,Comprou em Outra Concessionária,Frio,22/06/2024
CLI000409,Beatriz Andrade,Feminino,32,(24) 97774-3833,Site,Saveiro,Financiamento,40,Não,09/05/2024,Primeiro Contato,,Frio,13/05/2024
CLI000410,Patrícia Lima,Feminino,51,(61) 93229-6552,Instagram,Polo,Financiamento,20,Não,11/05/2024,Interesse Futuro,,Morno,14/07/2024
CLI000411,Clara Batista Melo,Feminino,40,(21) 94011-2872,Indicação,Polo,Financiamento,20,Não,22/05/2024,Sucesso,,Quente,06/06/2024
CLI000412,Letícia Ramos Barbosa,Feminino,37,(15) 96321-9536,Instagram,Taos,Financiamento,20,Não,05/29/2024,Primeiro Contato,,Frio,06/01/2024
CLI000413,Fernando Oliveira,Masculino,63,(81) 94020-4063,Site,Polo,Financiamento,25,Sim,28/05/2024,Sucesso,Comprou em Outra Concessionária,Quente,21/06/2024
CLI000414,Sofia Alves,Feminino,25,(48) 93565-4076,Google Ads,Saveiro,Financiamento,40,Sim,10/05/2024,Agendamento,,Frio,15/05/2024
CLI000415,Natália Soares,Feminino,66,(16) 99959-1685,WhatsApp,Taos,À Vista,,Sim,18/05/2024,Agendamento,,Frio,26/05/2024
CLI000416,Leonardo Barbosa,Masculino,48,(16) 96637-9884,Instagram,Polo,Financiamento,10,Não,15/05/2024,Primeiro Contato,,Quente,16/05/2024
CLI000417,Patrícia Almeida,Feminino,30,(31) 91689-8573,Instagram,Saveiro,Financiamento,,Sim,03/05/2024,Sucesso,,Quente,07/05/2024
CLI000418,Bruno Souza,Masculino,48,(32) 99205-8940,Google Ads,Polo,Financiamento,30,Não,16/05/2024,Primeiro Contato,,Morno,16/05/2024
CLI000419,Bruna Silva,Feminino,47,(32) 98821-9771,Instagram,T-Cross,Financiamento,25,Não,09/05/2024,Agendamento,,Morno,13/05/2024
CLI000420,Diego Moraes,Masculino,22,(12) 92067-9738,Site,Virtus,Financiamento,20,Não,03/05/2024,INSUCESSO ,Comprou em Outra Concessionária,Morno,18/05/2024
CLI000421,Valentina Monteiro,Feminino,39,(41) 93178-3478,Loja Física,T-Cross,À Vista,,Não,12/05/2024,Interesse Futuro,,Morno,02/06/2024
CLI000422,Mariana Batista,Feminino,33,(24) 97243-8823,Loja Física,T-Cross,Financiamento,25,Não,27/06/2024,Insucesso,Financeiro,Frio,11/08/2024
CLI000423,Beatriz Nascimento,Feminino,37,(21) 95881-4742,Site,Polo,À Vista,,Não,13/06/2024,Primeiro Contato,,Morno,17/06/2024
CLI000424,Patrícia Dias,Feminino,,(51) 91229-3129,Loja Física,Polo,À Vista,,Sim,18/06/2024,Negociação,,Morno,03/07/2024
CLI001958,Thiago Soares,Masculino,56,(24) 92478-1593,Site,Amarok,Financiamento,30,Não,07/06/2024,Agendamento,,Frio,14/06/2024
CLI000426,Fernando Costa,Masculino,32,(31) 93451-3509,Instagram,Taos,Financiamento,30,Sim,23/06/2024,Primeiro Contato,,Frio,25/06/2024
CLI000427,Luana Rodrigues,Feminino,39,(85) 91832-4095,Site,Tiguan Allspace,Financiamento,35,Não,29/06/2024,Negociação,Produto Indisponível,Quente,06/07/2024
CLI000428,Rodrigo Silva Gomes,Masculino,54,(13) 94836-5725,Instagram,Taos,Financiamento,25,Sim,26/06/2024,Sucesso,,Morno,19/07/2024
CLI000429,Sabrina Teixeira,Feminino,58,(13) 97276-7647,Google Ads,Taos,Financiamento,15,Sim,14/06/2024,Interesse Futuro,,Morno,20/09/2024
CLI000430,Larissa Andrade Rocha,Feminino,51,(32) 91965-5525,Google Ads,Polo,À Vista,,Sim,06/06/2024,Interesse Futuro,,Morno,19/09/2024
CLI000431,Ricardo Carvalho,Masculino,42,(12) 91114-6690,Google Ads,Virtus,Financiamento,25,Não,15/06/2024,Primeiro Contato,,Morno,17/06/2024
CLI000432,Vitor Freitas,Masculino,45,(32) 96356-3293,Instagram,T-Cross,Financiamento,10,Não,13/06/2024,Primeiro Contato,Comprou em Outra Concessionária,Morno,15/06/2024
CLI000433,Vitória Gonçalves,Feminino,30,(12) 93180-0670,Site,Nivus,Financiamento,30,Sim,24/06/2024,Sucesso,,Frio,08/06/2024
CLI000434,Pedro Carvalho,Masculino,23,(61) 99388-4620,Site,Polo,À Vista,,Sim,30/06/2024,Sucesso,,Quente,02/08/2024
CLI000435,Marcos Cardoso,Masculino,53,(17) 99265-7684,Loja Física,Amarok,Financiamento,40,Sim,08/06/2024,Agendamento,,Quente,10/06/2024
CLI000436,Clara Teixeira Rodrigues,Feminino,58,(13) 97416-0205,WhatsApp,Tiguan Allspace,Financiamento,20,Não,03/06/2024,Agendamento,,Frio,08/06/2024
CLI000437,Rafaela Andrade,Feminino,47,(51) 92117-4347,WhatsApp,Polo,Financiamento,15,Sim,22/06/2024,Sucesso,,Quente,31/07/2024
CLI000438,Luana Gonçalves,Feminino,46,(41) 94517-8654,Google Ads,Polo,Financiamento,15,Sim,28/06/2024,Agendamento,,Frio,02/07/2024
CLI000439,Thiago Moreira Santos,Masculino,55,(11) 98A77-6655,Google Ads,Nivus,Financiamento,25,Sim,13/06/2024,Sucesso,,Quente,22/06/2024
CLI000440,Murilo Mendes,masculino,49,(61) 98554-5782,WhatsApp,Polo,À Vista,,Não,24/06/2024,Primeiro Contato,,Frio,30/06/2024
CLI000441,Lucas Rezende,Masculino,40,(15) 96807-9688,Site,T-Cross,Financiamento,35,Sim,13/06/2024,Negociação,Contato Sem Sucesso,Quente,05/07/2024
CLI000442,Murilo Andrade,Masculino,71,(85) 94421-0873,Instagram,Nivus,Financiamento,15,Não,29/06/2024,Agendamento,,Quente,12/06/2024
CLI000443,Ana Barbosa,Feminino,21,(21) 92625-4569,WhatsApp,Taos,Financiamento,25,Não,2024-06-08,Primeiro Contato,,Frio,11/06/2024
CLI000444,Eduardo Mendes Castro,Masculino,48,(12) 95678-4295,Facebook Ads,T-Cross,Financiamento,30,Sim,11/06/2024,Sucesso,,Quente,19/06/2024
CLI000445,Marcos Rodrigues Santana,Masculino,57,(12) 92570-4456,Facebook Ads,T-Cross,À Vista,,Sim,23/06/2024,Sucesso,,Quente,09/07/2024
CLI000446,Renan Pereira Mendes,Masculino,41,(11) 98349-8485,Site,Polo,À Vista,,Não,05/06/2024,Interesse Futuro,,Morno,14/08/2024
CLI000447,Daniela Melo Andrade,Feminino,49,(81) 98663-5903,Loja Física,Taos,Financiamento,30,Não,08/06/2024,Primeiro Contato,,Frio,12/06/2024
CLI000448,Daniela Rezende,Feminino,53,(85) 95493-3269,Site,T-Cross,Financiamento,25,Sim,11/06/2024,Negociação,,Morno,02/07/2024
CLI002022,Marina Oliveira,Feminino,67,(51) 92839-6284,WhatsApp,Polo,Financiamento,35,Não,20/06/2024,Primeiro Contato,,Morno,27/06/2024
CLI000450,Carolina Lopes,Feminino,29,(24) 95583-9692,Google Ads,Nivus,Financiamento,25,Não,18/06/2024,Primeiro Contato,,Frio,25/06/2024
CLI000451,Eduardo Ribeiro Santos,Masculino,39,(11) 92532-1660,OLX,Taos,Financiamento,30,Sim,26/06/2024,Insucesso,Crédito Negado,Frio,19/06/2024
CLI000452,Vitória Castro Freitas,Feminino,50,(11) 91142-1823,OLX,Amarok,À Vista,,Não,18/06/2024,Interesse Futuro,,Morno,09/06/2024
CLI000453,Ricardo Barros,Masculino,49,(16) 99834-3411,Instagram,T-Cross,À Vista,,Não,17/06/2024,Insucesso,Produto Indisponível,Frio,24/06/2024
CLI000454,Fernando Rodrigues Santana,Masculino,20,(31) 96855-2663,WhatsApp,T-Cross,Financiamento,10,Não,26/06/2024,Agendamento,,Frio,04/07/2024
CLI000455,Eduardo Rodrigues Santana,Masculino,46,(48) 95893-4460,Site,Polo,Financiamento,35,Não,24/06/2024,Insucesso,Produto Indisponível,Frio,21/07/2024
CLI000456,Daniel Costa Silva,,57,(71) 92670-6438,Instagram,Polo,Financiamento,30,Sim,21/06/2024,Agendamento,,Morno,26/06/2024
CLI000457,Marcos Nascimento Batista,Masculino,54,(24) 92195-7811,Facebook Ads,Saveiro,Financiamento,15,Não,24/06/2024,Insucesso,Financeiro,Frio,25/07/2024
CLI000458,Caio Oliveira,Masculino,48,(27) 91487-0334,WhatsApp,Nivus,À Vista,,Não,03/06/2024,Insucesso,Produto Indisponível,Frio,23/07/2024
CLI000459,Bianca Barros Carvalho,Feminino,30,(13) 93826-1712,Google Ads,Virtus,Financiamento,20,Não,21/06/2024,Primeiro Contato,Crédito Negado,Frio,26/06/2024
CLI000460,Fernando Barbosa,Masculino,46,(24) 94681-1605,Instagram,Virtus,Financiamento,25,Não,17/06/2024,Primeiro Contato,,Morno,21/06/2024
CLI000461,Gabriela Rezende Ferreira,Feminino,52,(21) 9999,Facebook Ads,Amarok,Financiamento,40,Sim,04/06/2024,Sucesso,,Quente,05/07/2024
CLI000462,Ricardo Alves,Masculino,55,(17) 99799-9219,Instagram,Virtus,À Vista,,Não,21/06/2024,Agendamento,,Frio,06/07/2024
CLI000463,Lucas Nascimento,Masculino,58,(41) 99300-6188,Site,Polo,À Vista,,Não,05/06/2024,Interesse Futuro,,Morno,29/07/2024
CLI000464,Samuel Araújo,Masculino,66,(81) 93037-2254,Loja Física,Polo,À Vista,10,Sim,13/06/2024,Agendamento,,Quente,27/06/2024
CLI000465,André Almeida,Masculino,30,(11) 98445-5372,Google Ads,Polo,Financiamento,10,Não,30/06/2024,Insucesso,Financeiro,Morno,17/07/2024
CLI000466,Júlia Oliveira,Feminino,64,(27) 95521-2423,Google Ads,Saveiro,Financiamento,35,Sim,05/06/2024,Sucesso,,Quente,12/07/2024
CLI000467,Thiago Santos,Masculino,32,(11) 98957-6547, Instagram  ,T-Cross,Financiamento,25,Não,20/06/2024,Primeiro Contato,,Frio,27/06/2024
CLI000468,Leonardo Costa,Masculino,41,(15) 92558-5969,Google Ads,Polo,À Vista,,Não,12/06/2024,Sucesso,,Quente,09/07/2024
CLI000469,Gabriela Teixeira,Feminino,44,(47) 91128-1052,Site,Polo,À Vista,,Sim,20/06/2024,Sucesso,,Quente,29/06/2024
CLI000470,Mateus Nascimento Gonçalves,Masculino,51,(85) 91045-2057,Site,Amarok,À Vista,,Não,02/06/2024,Primeiro Contato,,Morno,05/06/2024
CLI000471,Guilherme Cardoso Melo,Masculino,33,(16) 99608-5893,WhatsApp,Polo,Financiamento,10,Sim,05/06/2024,Sucesso,,Quente,08/06/2024
CLI000472,Ana Castro Ramos,Feminino,30,(27) 95798-6188,Instagram,Polo,À Vista,,Sim,2024-06-02,Negociação,,Morno,23/06/2024
CLI000473,Eduardo Santos,Masculino,16,(17) 93669-8007,Loja Física,Nivus,Financiamento,30,Não,11/06/2024,Insucesso,Contato Sem Sucesso,Frio,01/07/2024
CLI000474,Eduarda Ferreira Santos,Feminino,36,(85) 96533-0140,Site,Polo,Financiamento,30,Sim,17/06/2024,Sucesso,,Quente,02/07/2024
CLI000475,Helena Rodrigues Freitas,Feminino,54,(11) 91807-2081,Instagram,Polo,Financiamento,30,Sim,16/06/2024,Sucesso,,Quente,14/07/2024
CLI000476,Pedro Rezende,Masculino,61,(61) 95713-9511,WhatsApp,Polo,Financiamento,50,Não,20/06/2024,Insucesso,Contato Sem Sucesso,Frio,16/08/2024
CLI000477,Natália Moreira Rocha,Feminino,40,(16) 97231-8047,WhatsApp,Amarok,Financiamento,10,Não,02/06/2024,Primeiro Contato,,Morno,05/06/2024
CLI000478,Isabela Batista Araújo,Feminino,45,(71) 97724-4247,Site,Virtus,Financiamento,25,Não,25/06/2024,Insucesso,Comprou no Particular,Frio,17/08/2024
CLI000479,Eduarda Moreira,Feminino,43,(19) 92659-8493,Indicação,Polo,Financiamento,25,Sim,28/06/2024,Sucesso,,Quente,23/07/2024
CLI000480,Clara Lima,Feminino,43,(51) 93524-1568,Google Ads,Virtus,Financiamento,15,Sim,24/06/2024,Primeiro Contato,,Frio,29/06/2024
CLI000481,Rafael Mendes Lopes,Masculino,70,(31) 94402-0286,OLX,Nivus,Financiamento,25,Sim,10/06/2024,Negociação,,Quente,22/06/2024
CLI000482,Mariana Soares Gonçalves,Feminino,51,(17) 91875-1802,Google Ads,Polo,Financiamento,25,Não,24/06/2024,Agendamento,,Quente,04/07/2024
CLI000483,Lucas Barros,Masculino,24,(85) 97224-6917,Loja Física,Amarok,Financiamento,15,Não,26/06/2024,Agendamento,,Quente,18/06/2024
CLI000484,Guilherme Silva,Masculino,49,(31) 95110-4597,Site,Polo,Financiamento,20,Sim,20/06/2024,Negociação,,Morno,28/06/2024
CLI000485,Murilo Cardoso Almeida,Masculino,51,(12) 96259-4311,Facebook Ads,Nivus,Financiamento,,Não,18/06/2024,Primeiro Contato,,Morno,21/06/2024
CLI000486,Valentina Santos Barros,Feminino,39,(12) 96244-2967,Loja Física,Saveiro,Financiamento,10,Sim,16/06/2024,Negociação,,Quente,2024-07-12
CLI000487,Henrique Freitas,Masculino,54,(11) 91967-2715,Indicação,Saveiro,Financiamento,20,Não,02/06/2024,Sucesso,,Quente,14/07/2024
CLI000488,Rafaela Pereira,Feminino,38,(31) 95230-5457,Instagram,Virtus,Financiamento,20,1,23/06/2024,Insucesso,Crédito Negado,Frio,07/07/2024
CLI000489,Patrícia Castro,Feminino,49,(41) 97665-4819,Indicação,T-Cross,Financiamento,30,Sim,01/06/2024,Negociação,,Morno,19/06/2024
CLI000490,Leonardo Lopes,Masculino,42,(16) 94199-0695,Instagram,T-Cross,Financiamento,25,Sim,25/06/2024,Sucesso,,Quente,21/07/2024
CLI000491,Eduarda Lopes,Feminino,69,(61) 99479-3924,Instagram,Saveiro,Financiamento,30,Sim,15/06/2024,Sucesso,,Quente,04/07/2024
CLI000492,Rodrigo Nunes,Masculino,54,(11) 91620-4490,Facebook Ads,Polo,À Vista,,Sim,29/06/2024,Insucesso,Produto Indisponível,Morno,09/08/2024
CLI000493,Eduardo Almeida,Masculino,24,(16) 93891-7345,Instagram,Amarok,À Vista,,Não,09/06/2024,PRIMEIRO CONTATO ,,Frio,16/06/2024
CLI000494,Lucas Araújo,Masculino,33,(31) 96628-4187,Indicação,Polo,Financiamento,15,Sim,01/06/2024,Primeiro Contato,,Frio,05/06/2024
CLI000495,Marcos Santana,Masculino,22,(13) 92709-3057,GOOGLE ADS,Polo,Financiamento,35,Não,07/06/2024,Insucesso,Comprou no Particular,Frio,25/07/2024
CLI000496,Rodrigo Nunes Almeida,Masculino,45,(21) 99416-3656,Instagram,Nivus,Financiamento,35,Sim,21/06/2024,Negociação,,Quente,07/07/2024
CLI000497,Caio Gomes,Masculino,46,(71) 98382-0298,WhatsApp,Polo,Financiamento,25,Sim,02/06/2024,Primeiro Contato,,Frio,03/06/2024
CLI000498,Thiago Pereira,Masculino,30,(32) 93039-9913,Google Ads,Virtus,Financiamento,10,Não,13/06/2024,Primeiro Contato,,Morno,19/06/2024
CLI000499,Diego Ferreira,Masculino,71,(12) 97412-1074,Google Ads,Tiguan Allspace,Financiamento,30,Sim,13/06/2024,Agendamento,,Morno,24/06/2024
CLI000500,Clara Freitas,Feminino,35,(47) 96873-1453,Instagram,T-Cross,Financiamento,30,Não,17/06/2024,Insucesso,Comprou no Particular,Frio,31/07/2024
CLI000501,Bruna Souza,Feminino,58,(12) 98507-0376,Site,Polo,Financiamento,10,Não,30/06/2024,Agendamento,,Quente,04/07/2024
CLI000502,Lucas Ramos Barbosa,Masculino,55,(85) 97144-2942,Site,Saveiro,Financiamento,30,Sim,19/06/2024,Negociação,,Morno,15/07/2024
CLI000503,Bruno Cardoso,Masculino,38,(32) 97746-6824,Facebook Ads,T-Cross,Financiamento,35,Não,27/07/2024,Primeiro Contato,,Morno,29/07/2024
CLI000504,Guilherme Araújo Rezende,Masculino,56,(47) 92726-6207,Instagram,T-Cross,À Vista,,Não,23/07/2024,Insucesso,Contato Sem Sucesso,Frio,17/08/2024
CLI000505,Laura Araújo Lima,Feminino,53,(19) 94048-0494,Instagram,Tiguan Allspace,Financiamento,35,Não,16/07/2024,Negociação,,Quente,26/06/2024
CLI000506,Mateus Monteiro,Masculino,32,(19) 97762-7254,Loja Física,Polo,Financiamento,25,Sim,03/07/2024,Sucesso,,Quente,20/07/2024
CLI000507,  Marina Rodrigues ,Feminino,41,(15) 94084-2906,Instagram,Polo,À Vista,,Sim,13/07/2024,Insucesso,Produto Indisponível,Frio,20/07/2024
CLI000508,Leonardo Santana,Masculino,54,(21) 97528-3638,Indicação,Amarok,À Vista,,Sim,13/07/2024,NEGOCIAÇÃO ,,Quente,11/08/2024
